timestamp,sample
1726836847323,384
1726836848283,904
1726836849251,976
1726836850212,968
1726836851148,920
1726836852093,944
1726836853028,944
1726836853980,944
1726836854907,928
1726836855827,920
1726836856740,912
1726836857659,920
1726836858571,912
1726836859491,920
1726836860443,952
1726836861436,992
1726836862451,1016
1726836863467,1016
1726836864459,992
1726836865411,968
1726836866308,880
1726836867171,864
1726836868043,872
1726836868924,904
1726836869803,864
1726836870707,896
1726836871635,936
1726836872596,960
1726836873571,968
1726836874524,952
1726836875484,960
1726836876437,960
1726836877379,936
1726836878291,912
1726836879179,888
1726836880027,848
1726836880867,840
1726836881692,832
1726836882516,816
1726836883323,816
1726836884155,824
1726836885003,856
1726836885875,864
1726836886732,856
1726836887579,848
1726836888403,824
1726836889211,808
1726836890011,808
1726836890803,792
1726836891587,776
1726836892363,776
1726836893116,776
1726836893860,720
1726836894579,728
1726836895299,712
1726836896020,720
1726836896732,712
1726836897459,728
1726836898188,728
1726836898907,728
1726836899627,712
1726836900323,720
1726836901020,672
1726836901692,680
1726836902371,680
1726836903051,672
1726836903732,680
1726836904419,688
1726836905124,712
1726836905875,744
1726836906667,792
1726836907516,848
1726836908387,872
1726836909251,864
1726836910091,840
1726836910907,816
1726836911732,832
1726836912555,816
1726836913363,816
1726836914179,808
1726836914963,792
1726836915748,776
1726836916531,792
1726836917323,792
1726836918115,784
1726836918923,808
1726836919739,816
1726836920555,816
1726836921371,824
1726836922219,840
1726836923075,856
1726836923932,856
1726836924787,864
1726836925644,848
1726836926491,848
1726836927331,840
1726836928179,848
1726836929027,848
1726836929884,856
1726836930755,880
1726836931635,872
1726836932517,880
1726836933403,888
1726836934292,888
1726836935180,888
1726836936075,896
1726836936947,880
1726836937819,864
1726836938684,864
1726836939539,864
1726836940387,840
1726836941211,824
1726836942043,832
1726836942852,808
1726836943652,800
1726836944467,816
1726836945283,816
1726836946123,840
1726836946981,856
1726836947860,888
1726836948739,872
1726836949595,856
1726836950437,848
1726836951268,832
1726836952101,832
1726836952947,848
1726836953803,848
1726836954667,864
1726836955547,880
1726836956443,896
1726836957356,912
1726836958268,920
1726836959195,920
1726836960100,904
1726836960987,896
1726836961860,872
1726836962707,848
1726836963555,848
1726836964436,872
1726836965299,864
1726836966163,864
1726836967051,888
1726836967940,888
1726836968812,872
1726836969675,864
1726836970524,856
1726836971363,840
1726836972196,832
1726836973027,824
1726836973835,816
1726836974659,816
1726836975476,824
1726836976283,800
1726836977091,816
1726836977915,816
1726836978732,816
1726836979539,808
1726836980348,808
1726836981163,816
1726836981963,808
1726836982763,800
1726836983580,808
1726836984371,800
1726836985148,792
1726836985924,752
1726836986692,768
1726836987451,768
1726836988219,760
1726836988987,768
1726836989764,776
1726836990539,776
1726836991331,792
1726836992123,792
1726836992915,800
1726836993700,776
1726836994491,792
1726836995276,784
1726836996043,768
1726836996812,768
1726836997587,776
1726836998348,768
1726836999115,768
1726836999875,752
1726837000627,752
1726837001371,752
1726837002131,760
1726837002907,768
1726837003659,760
1726837004411,752
1726837005155,744
1726837005875,720
1726837006604,720
1726837007308,704
1726837008020,712
1726837008707,688
1726837009411,704
1726837010108,704
1726837010812,696
1726837011516,712
1726837012243,720
1726837012980,736
1726837013724,744
1726837014467,744
1726837015204,744
1726837015947,736
1726837016684,736
1726837017403,728
1726837018140,728
1726837018875,744
1726837019619,736
1726837020331,712
1726837021043,712
1726837021748,704
1726837022467,720
1726837023195,728
1726837023915,720
1726837024644,728
1726837025371,736
