timestamp,x,y,z
1726836051233,-119.45332,294.04288,-4.4119163
1726836051308,-121.065155,291.89456,-7.4454765
1726836051327,-120.36623,296.04553,-5.0320983
1726836051346,-122.271,291.8336,-7.588387
1726836051364,-119.3509,297.74506,-3.6161401
1726836051384,-121.90017,292.0339,-7.695554
1726836051403,-119.52826,294.30692,-5.486099
1726836051422,-124.2608,295.88315,-7.558139
1726836051441,-121.674934,292.00253,-7.1418796
1726836051459,-122.81264,294.3164,-7.1446414
1726836051478,-121.4796,294.88492,-7.052794
1726836051497,-120.26818,295.50662,-4.42736
1726836051515,-121.38287,293.02557,-6.1213655
1726836051534,-124.2608,295.88315,-7.558139
1726836051553,-121.024414,294.82318,-5.8051147
1726836051572,-124.40212,295.3726,-7.9280653
1726836051590,-124.27625,294.55975,-7.652442
1726836051609,-121.36785,294.0691,-7.1981606
1726836051628,-122.477295,296.38892,-6.3589425
1726836051647,-121.58752,294.6612,-5.269312
1726836051665,-120.43776,294.99014,-5.6392636
1726836051684,-122.51158,295.06158,-7.014566
1726836051703,-121.84233,293.3662,-6.33828
1726836051722,-121.93139,293.62726,-7.8334565
1726836051740,-124.079704,294.24258,-9.111842
1726836051760,-122.34714,295.2972,-7.1140833
1726836051779,-122.8066,295.63782,-7.330998
1726836051798,-123.27987,291.73535,-8.019607
1726836051817,-121.61499,291.1758,-8.830876
1726836051835,-122.661,295.86948,-7.99184
1726836051854,-120.490456,293.93866,-5.685113
1726836051873,-121.481346,293.28464,-7.897202
1726836051891,-122.47258,296.38992,-6.218612
1726836051910,-119.33006,291.07,-7.322894
1726836051929,-121.73441,293.5899,-8.121762
1726836051948,-123.49515,296.56854,-5.899724
1726836051966,-121.71986,293.87274,-6.5296736
1726836051985,-120.260506,293.9083,-4.991108
1726836052004,-121.66683,290.68408,-6.5345325
1726836052023,-121.83805,293.08734,-7.369045
1726836052041,-120.881775,296.65414,-5.7618747
1726836052060,-122.75612,294.3283,-5.4606805
1726836052079,-122.45079,294.7946,-6.36137
1726836052098,-120.133316,294.41586,-5.0421715
1726836052116,-123.48024,293.0921,-8.1983185
1726836052135,-121.96821,294.17905,-6.6139035
1726836052154,-121.39097,294.34402,-6.7287164
1726836052173,-122.84474,294.86923,-5.784758
1726836052191,-121.70101,293.8767,-5.9683533
1726836052210,-122.90421,296.4566,-6.7646413
1726836052229,-120.32941,295.49374,-6.2516513
1726836052248,-122.19387,293.93054,-8.338673
1726836052266,-121.63593,293.33084,-6.345926
1726836052285,-121.0805,295.0912,-6.317977
1726836052304,-123.364105,296.51736,-8.152651
1726836052323,-123.26563,296.2583,-6.376814
1726836052341,-121.88932,297.87628,-6.5197816
1726836052360,-121.15203,294.03577,-6.925146
1726836052379,-119.538994,292.9845,-5.440072
1726836052398,-122.14032,295.54175,-5.9506345
1726836052416,-120.43009,293.3918,-6.2030153
1726836052435,-122.15445,295.53876,-6.3716245
1726836052454,-121.49637,292.2411,-6.8204107
1726836052473,-122.70517,293.77948,-6.259243
1726836052491,-121.26039,293.53214,-6.3127627
1726836052510,-120.39712,293.39874,-5.220705
1726836052529,-124.05441,295.8478,-7.5657845
1726836052548,-120.95331,295.59872,-6.3690443
1726836052566,-122.93554,293.52997,-8.124343
1726836052586,-122.573265,294.288,-6.169976
1726836052605,-122.573265,294.288,-6.169976
1726836052624,-122.378044,292.6504,-7.30269
1726836052643,-123.26015,292.77985,-8.956068
1726836052661,-122.43019,296.39883,-4.9556417
1726836052680,-121.38287,293.02557,-6.1213655
1726836052699,-120.37992,296.32245,-4.2819896
