timestamp,x,y,z
1726836314658,2.31,-1.82,-0.21000001
1726836314734,3.29,-1.75,-0.14
1726836314753,4.62,-1.6800001,-0.35
1726836314772,5.6,-2.03,-0.28
1726836314791,4.41,-2.1,-0.28
1726836314809,2.73,-1.89,-0.28
1726836314828,2.94,-1.75,-0.42000002
1726836314847,2.73,-1.82,-0.49
1726836314865,2.24,-1.89,-0.63
1726836314884,1.96,-1.6800001,-0.49
1726836314903,1.89,-1.6800001,-0.49
1726836314922,2.03,-1.89,-0.49
1726836314940,2.03,-1.96,-0.28
1726836314959,1.89,-2.1,-0.14
1726836314978,1.61,-2.17,-0.21000001
1726836314997,1.19,-2.03,-0.21000001
1726836315015,1.05,-1.96,-0.21000001
1726836315034,0.98,-1.96,-0.28
1726836315053,0.84000003,-1.82,-0.21000001
1726836315072,0.84000003,-1.82,-0.21000001
1726836315090,0.77,-1.89,-0.28
1726836315110,0.77,-1.82,-0.28
1726836315129,0.77,-1.75,-0.42000002
1726836315148,0.91,-1.82,-0.28
1726836315167,0.84000003,-1.75,-0.35
1726836315185,0.7,-1.6800001,-0.14
1726836315204,0.56,-1.61,-0.14
1726836315223,0.42000002,-1.61,-0.21000001
1726836315241,0.63,-1.6800001,-0.14
1726836315260,0.91,-1.61,-0.14
1726836315279,0.91,-1.75,-0.42000002
1726836315298,1.05,-1.61,-0.63
1726836315316,1.19,-1.47,-0.77
1726836315335,1.26,-1.47,-0.77
1726836315354,1.33,-1.61,-0.35
1726836315373,1.33,-1.6800001,-0.14
1726836315391,-0.14,-1.6800001,-0.14
1726836315410,-0.21000001,-1.26,-0.07
1726836315429,-0.56,-1.4,-0.28
1726836315448,0.56,-1.61,-0.28
1726836315466,-0.14,-1.75,-0.35
1726836315486,-1.33,-1.75,-0.21000001
1726836315505,1.12,-1.61,0.14
1726836315524,3.01,-1.47,0.14
1726836315543,4.97,-1.61,0.07
1726836315561,6.09,-1.82,-0.35
1726836315580,4.34,-1.61,-0.63
1726836315599,2.66,-1.26,-0.7
1726836315617,1.4,-1.12,-0.77
1726836315636,0.77,-1.12,-0.56
1726836315655,0.7,-1.12,-0.42000002
1726836315674,0.77,-1.33,-0.28
1726836315692,0.77,-1.61,-0.21000001
1726836315711,0.91,-1.75,-0.14
1726836315730,1.47,-2.1,-0.07
1726836315749,1.4,-2.59,-0.07
1726836315767,-0.63,-2.45,-0.07
1726836315786,-1.47,-2.38,-0.14
1726836315805,-1.05,-2.31,-0.14
1726836315824,-1.33,-2.31,-0.07
1726836315842,-1.47,-2.1,-0.07
1726836315861,-1.4,-1.75,-0.14
1726836315880,-1.12,-1.6800001,-0.28
1726836315899,-1.61,-1.6800001,-0.42000002
1726836315917,-2.31,-1.61,-0.28
1726836315936,-1.82,-1.4,-0.21000001
1726836315955,-1.6800001,-1.33,-0.21000001
1726836315974,-1.12,-1.33,-0.14
1726836315992,-0.35,-1.54,-0.07
1726836316011,-0.14,-1.61,0
1726836316030,-0.63,-1.6800001,-0.21000001
1726836316049,-1.54,-1.82,-0.21000001
1726836316067,-1.89,-1.82,-0.21000001
1726836316086,-1.33,-1.75,-0.28
1726836316105,-1.61,-1.47,-0.21000001
1726836316124,-1.6800001,-1.26,-0.21000001
1726836316142,-1.75,-1.19,-0.28
1726836316161,-1.54,-1.33,-0.28
1726836316180,-1.33,-1.54,-0.49
1726836316199,-1.4,-1.82,-0.7
1726836316217,-1.47,-2.03,-0.91
1726836316237,-1.82,-2.17,-0.98
1726836316256,-1.89,-1.96,-0.84000003
1726836316275,-1.6800001,-1.96,-0.49
1726836316294,-1.75,-1.96,-0.14
1726836316312,-0.91,-1.96,0.07
1726836316331,-0.77,-1.82,0
1726836316350,-1.05,-1.82,-0.21000001
1726836316368,-0.14,-2.03,-0.14
1726836316387,-2.38,-1.89,0.42000002
1726836316406,-4.13,-1.47,0.42000002
1726836316425,-3.71,-1.6800001,-0.28
1726836316443,-0.91,-2.66,-0.49
1726836316462,0.98,-2.52,-0.28
1726836316481,0.49,-1.96,-0.07
1726836316500,2.1,-1.89,0
1726836316518,2.52,-2.31,-0.07
1726836316537,1.05,-2.38,-0.07
1726836316556,0.63,-1.96,0.07
1726836316575,1.4,-1.54,0.07
1726836316593,2.52,-1.33,-0.07
1726836316613,2.59,-1.4,-0.14
1726836316632,2.03,-1.54,-0.28
1726836316651,2.17,-1.6800001,-0.35
1726836316670,2.8700001,-1.89,-0.35
1726836316688,3.78,-2.38,-0.28
1726836316707,4.06,-2.66,-0.35
1726836316726,1.89,-2.52,0
1726836316744,-0.35,-2.31,0.21000001
1726836316763,0.56,-2.1,0.07
1726836316782,1.89,-2.1,-0.14
1726836316801,1.96,-1.96,-0.28
1726836316819,1.75,-1.82,-0.42000002
1726836316838,1.82,-1.6800001,-0.28
1726836316857,2.1,-1.96,-0.21000001
1726836316876,2.03,-2.03,-0.21000001
1726836316894,1.54,-1.82,-0.28
1726836316913,1.26,-1.75,-0.49
1726836316932,1.4,-1.6800001,-0.42000002
1726836316951,1.61,-1.75,-0.49
1726836316969,1.33,-1.75,-0.56
1726836316988,0.98,-1.82,-0.56
1726836317007,0.77,-1.75,-0.35
1726836317026,0.7,-1.6800001,-0.21000001
1726836317044,0.77,-1.6800001,-0.07
1726836317063,0.91,-1.75,-0.14
1726836317082,0.98,-1.75,-0.21000001
1726836317101,0.98,-1.89,-0.28
1726836317119,0.84000003,-1.82,-0.35
1726836317138,0.56,-1.89,-0.35
1726836317157,0.21000001,-1.89,-0.35
1726836317176,0.35,-1.89,-0.42000002
1726836317194,1.82,-1.75,-0.35
1726836317213,3.57,-1.61,-0.28
1726836317232,3.78,-1.61,-0.21000001
1726836317251,4.34,-1.96,-0.14
1726836317269,3.29,-1.96,-0.28
1726836317288,1.05,-2.17,-0.35
1726836317307,-0.56,-1.6800001,-0.28
1726836317326,-1.96,-1.6800001,0
1726836317344,-0.56,-2.24,-0.07
1726836317363,-1.4,-2.1,-0.14
1726836317382,-0.77,-2.38,-0.07
1726836317401,2.17,-2.24,0.07
1726836317419,3.5,-2.24,0
