timestamp,x,y,z
1726836550675,-124.490776,295.43274,-4.412168
1726836550750,-123.42375,292.62317,-2.6743824
1726836550769,-124.59617,293.32983,-4.5038624
1726836550788,-125.36949,294.24274,-5.5985293
1726836550806,-124.1996,295.41522,-1.8938727
1726836550825,-124.95891,291.81113,-3.7893484
1726836550844,-127.36368,294.05115,-5.7593117
1726836550863,-123.74703,293.19345,-3.832795
1726836550881,-124.704094,293.1061,-2.7203805
1726836550901,-124.05882,291.12592,-3.9168434
1726836550920,-122.62007,289.55716,-3.7840064
1726836550939,-123.45158,292.8971,-2.3452642
1726836550958,-124.245384,296.72574,-3.6238604
1726836550976,-126.0473,296.49585,-4.213282
1726836550995,-126.0473,296.49585,-4.213282
1726836551014,-123.85067,292.69086,-3.080081
1726836551032,-122.14768,292.4191,-1.5976156
1726836551051,-127.27416,294.5508,-6.933019
1726836551070,-123.17408,293.6373,-2.9168391
1726836551089,-126.39513,291.50067,-5.7973623
1726836551107,-124.26861,292.48065,-4.376215
1726836551126,-124.976425,293.12756,-4.677356
1726836551145,-124.979385,294.72684,-3.9732778
1726836551164,-124.07723,291.40182,-3.307069
1726836551182,-124.450134,293.84137,-3.9936056
1726836551201,-124.45189,292.2411,-4.838013
1726836551220,-122.84356,291.1888,-3.493273
1726836551239,-126.07391,293.57022,-5.4326534
1726836551257,-125.04456,290.75272,-4.817508
1726836551277,-124.208244,291.9338,-4.8941174
1726836551296,-125.13573,293.17282,-3.2664092
1726836551315,-124.634735,292.28134,-4.128718
1726836551334,-125.21536,293.43582,-4.4809256
1726836551352,-124.70583,291.50583,-3.5647922
1726836551371,-123.479836,292.89114,-3.1872444
1726836551390,-123.53121,293.16013,-3.5597804
1726836551408,-126.084656,292.2478,-5.3866267
1726836551427,-126.43829,294.9712,-4.3407483
1726836551446,-125.99856,293.5861,-3.1873724
1726836551465,-124.55246,294.65918,-3.5675788
1726836551483,-124.03352,292.73117,-2.3707855
1726836551502,-123.69094,292.92548,-3.319929
1726836551521,-126.52221,295.5131,-4.524496
1726836551540,-125.740326,294.04245,-5.491362
1726836551558,-125.22346,294.75427,-5.0882726
1726836551577,-124.93743,294.4559,-3.881402
1726836551596,-125.405876,295.07443,-3.2078817
1726836551615,-126.26619,293.60852,-5.0040174
1726836551633,-124.568344,293.0559,-4.832977
1726836551652,-124.72161,294.42255,-3.6083872
1726836551671,-125.20933,294.75726,-4.667282
1726836551690,-125.03854,292.07413,-5.003865
1726836551708,-125.88461,295.1312,-5.1572113
1726836551727,-122.82044,290.9139,-3.9627175
1726836551746,-123.883644,292.6839,-4.0623918
1726836551765,-124.87749,293.62918,-5.5703993
1726836551783,-123.56036,292.11362,-2.9039755
1726836551802,-124.94257,294.17505,-5.1928306
1726836551821,-126.482,293.64185,-5.2770324
1726836551840,-125.68984,292.73294,-3.621045
1726836551858,-126.19201,297.30475,-5.050222
1726836551877,-126.82194,296.08835,-4.9812584
1726836551896,-125.05684,296.87003,-3.1722875
1726836551915,-123.8211,294.0172,-2.5647879
1726836551933,-125.933914,292.76035,-4.7360396
1726836551952,-125.4063,294.79456,-4.3789763
1726836551971,-126.213486,294.65997,-4.9581685
1726836551990,-126.20407,294.66196,-4.6775084
1726836552008,-125.07315,294.9869,-5.608784
1726836552028,-126.30211,295.2009,-5.28225
1726836552047,-123.55137,291.83572,-3.7944138
1726836552066,-126.571945,292.86237,-5.274423
1726836552085,-124.53537,293.06284,-3.8506663
1726836552103,-123.58259,293.4291,-3.9323125
1726836552122,-122.539116,290.61456,-2.8961768
1726836552141,-127.022415,292.9251,-6.381772
1726836552159,-122.67265,293.02573,-2.6080525
1726836552178,-123.25328,294.18018,-2.9602568
1726836552197,-123.198944,292.31195,-3.2918024
1726836552216,-125.88297,292.2115,-5.5346026
1726836552234,-125.15795,294.48828,-4.2947464
1726836552253,-125.72916,295.6447,-4.3662944
1726836552272,-124.37347,295.17764,-2.0750115
1726836552291,-126.42677,292.81415,-7.1063595
1726836552309,-126.439156,294.41147,-6.6829414
1726836552328,-124.61675,291.7256,-5.9095907
1726836552347,-125.21536,293.43582,-4.4809256
1726836552366,-124.27585,294.35886,-2.6413686
1726836552384,-123.36557,290.19617,-5.2077875
1726836552404,-123.419044,292.62418,-2.5340524
1726836552423,-124.03909,292.17044,-4.853305
1726836552442,-121.737076,290.4683,-3.6284099
1726836552461,-123.380905,293.3928,-4.080288
1726836552479,-126.04095,293.57715,-4.450343
1726836552498,-125.94201,294.0788,-5.3433867
1726836552517,-125.23595,291.83157,-5.886654
1726836552535,-127.82664,291.19122,-7.6650457
1726836552554,-125.49208,289.2162,-6.628935
1726836552573,-124.89558,289.66495,-5.011329
1726836552592,-124.50284,292.78992,-4.0394545
1726836552610,-124.86818,289.11118,-6.511542
1726836552629,-124.12301,292.71234,-5.0370564
1726836552648,-124.7996,291.7659,-5.2002945
1726836552667,-127.19157,292.68848,-6.4225807
1726836552685,-123.10351,289.61298,-5.8736663
1726836552704,-124.78766,289.8887,-6.794811
1726836552723,-124.339714,291.7051,-3.8122852
1726836552742,-124.99658,291.8032,-4.9119887
1726836552760,-125.40378,292.91537,-6.2541533
1726836552780,-125.95572,294.35568,-4.593282
1726836552799,-125.88175,289.0119,-7.0830884
1726836552818,-125.056946,292.35004,-4.3940864
1726836552837,-124.88013,290.98834,-4.9170256
1726836552855,-124.98289,291.5263,-5.662097
1726836552874,-125.28087,293.70184,-5.2744474
1726836552893,-125.62388,293.2276,-5.496399
1726836552911,-127.70284,293.01822,-8.183126
1726836552930,-124.223694,290.6104,-4.9884205
1726836552949,-122.303566,291.62576,-3.5596275
1726836552968,-125.681274,292.1752,-5.682578
1726836552986,-125.87223,293.5339,-5.5806293
1726836553005,-125.14262,291.29166,-5.422246
1726836553024,-126.306046,291.72043,-8.142165
1726836553043,-127.69342,293.0202,-7.902466
1726836553061,-125.26553,290.50522,-6.401947
1726836553080,-125.8007,294.5893,-4.9734597
1726836553099,-124.3166,291.4302,-4.2817335
1726836553118,-124.62443,293.32388,-5.345843
1726836553136,-126.04313,291.697,-6.4658494
1726836553155,-125.74679,292.4412,-6.4761004
1726836553174,-123.92307,291.0757,-6.0294404
1726836553193,-124.0473,288.96884,-6.6824546
1726836553211,-125.769585,288.47595,-6.05736
1726836553230,-124.83728,291.75797,-6.322935
1726836553249,-126.64348,291.80695,-5.8815928
1726836553268,-124.36797,291.69916,-4.654266
1726836553286,-124.28537,289.83685,-4.1438313
1726836553305,-127.00401,292.6492,-6.9915466
1726836553324,-125.00294,294.7219,-4.674928
1726836553343,-125.47959,292.13885,-5.8305535
1726836553361,-125.2124,291.83652,-5.1850038
1726836553380,-124.97861,291.2474,-6.692862
1726836553399,-125.299385,289.45773,-5.8864765
1726836553418,-127.63734,292.75223,-7.3896
1726836553436,-124.791504,290.44745,-4.5929475
1726836553455,-125.79138,290.0713,-5.9146023
1726836553474,-124.55125,291.4596,-5.1160684
1726836553493,-124.44553,289.32236,-5.0750785
1726836553511,-124.971825,288.60855,-5.758828
1726836553531,-124.31188,291.43118,-4.1414037
1726836553550,-123.45376,291.01694,-4.3607707
1726836553569,-128.83202,294.29352,-6.4074426
1726836553588,-124.72468,291.50186,-4.1261125
1726836553606,-123.73508,291.31628,-5.427311
1726836553625,-129.07312,292.72165,-8.226519
1726836553644,-124.72982,291.221,-5.437537
1726836553662,-126.37804,289.90436,-6.08045
1726836553681,-126.634056,291.80893,-5.6009326
1726836553700,-125.71207,294.04837,-4.649382
1726836553719,-123.7111,291.6011,-3.554562
1726836553737,-124.18809,293.2582,-4.659484
1726836553756,-125.081276,295.82452,-2.3761525
1726836553775,-126.51411,294.19467,-3.9171493
1726836553794,-125.65773,292.18015,-4.980928
1726836553812,-125.603714,294.552,-5.2617655
1726836553831,-123.66871,291.61002,-2.2915916
1726836553850,-125.79171,294.3114,-5.8638983
1726836553869,-128.19868,294.1905,-6.0093894
1726836553887,-124.48695,294.3932,-2.7740529
1726836553907,-123.30641,292.8489,-4.1772003
1726836553926,-125.57031,294.8388,-3.1083605
1726836553945,-124.89975,294.46384,-2.7587616
1726836553964,-126.07951,292.5287,-4.0751977
1726836553982,-126.09364,292.5257,-4.496188
1726836554001,-124.73706,293.09915,-3.7026908
1726836554020,-124.630455,292.00247,-5.1594863
1726836554038,-123.62116,292.3806,-3.5571713
1726836554057,-126.16386,292.7907,-5.430044
1726836554076,-124.904,295.2235,-5.5679717
1726836554095,-122.68547,294.3432,-3.3557296
1726836554113,-126.2537,296.53122,-4.2056365
1726836554132,-124.43426,295.44464,-2.7282076
1726836554151,-127.23998,291.3582,-7.4991946
1726836554170,-124.520355,294.10638,-4.9274616
1726836554188,-123.31069,293.12778,-3.1464357
1726836554207,-126.52353,294.1927,-4.197809
1726836554226,-123.935905,291.91235,-2.9371424
1726836554245,-125.985725,292.74945,-6.2796702
1726836554263,-125.83883,293.8207,-3.4272203
1726836554282,-123.38694,292.07135,-3.8939316
1726836554301,-125.294136,294.2586,-3.3532484
1726836554320,-126.0255,294.90054,-4.35604
1726836554338,-123.94357,293.51065,-2.3733904
1726836554357,-125.590904,293.23453,-4.5140886
1726836554376,-124.27157,294.07996,-3.672137
1726836554395,-124.28274,292.4777,-4.797205
1726836554413,-124.811554,293.64304,-3.6057785
1726836554432,-124.0849,293.00012,-2.7433176
1726836554451,-126.1711,294.66888,-3.695198
1726836554470,-124.09421,297.51813,-1.8021785
1726836554488,-124.1722,294.86142,-3.3940856
1726836554507,-125.49329,292.41574,-5.0804453
1726836554526,-123.01995,292.83038,-1.7992353
1726836554545,-124.16278,294.8634,-3.1134255
1726836554563,-125.84868,293.53885,-4.878979
1726836554582,-125.12837,295.8146,-3.779453
1726836554601,-126.1437,294.11508,-5.195411
1726836554620,-125.14515,293.17084,-3.5470693
1726836554638,-124.54261,294.94104,-2.115824
1726836554658,-122.52103,294.5788,-3.455251
1726836554677,-126.08936,292.24683,-5.5269566
1726836554696,-124.28701,292.75656,-3.7664402
1726836554715,-123.9577,293.50766,-2.7943807
1726836554733,-124.98409,294.72586,-4.113608
1726836554752,-124.89197,297.38553,-2.1007104
1726836554771,-125.45901,293.7431,-4.424822
1726836554789,-124.245056,292.48563,-3.6745644
1726836554808,-127.56875,295.40692,-6.0783563
1726836554827,-126.277245,296.52628,-4.9072866
1726836554846,-124.96186,293.41043,-3.0852706
