timestamp,sample
1726836050917,-58
1726836051045,254
1726836051053,26
1726836051061,-739
1726836051069,-992
1726836051077,-4
1726836051085,1402
1726836051093,1825
1726836051101,1035
1726836051109,136
1726836051117,-43
1726836051125,-10
1726836051133,-115
1726836051141,-131
1726836051149,-135
1726836051157,-147
1726836051165,-125
1726836051173,-117
1726836051181,-113
1726836051189,-104
1726836051197,-96
1726836051205,-86
1726836051213,-81
1726836051221,-73
1726836051229,-71
1726836051237,-67
1726836051245,-60
1726836051253,-59
1726836051261,-59
1726836051269,-59
1726836051277,-56
1726836051285,-52
1726836051293,-51
1726836051301,-49
1726836051309,-50
1726836051317,-50
1726836051325,-52
1726836051333,-54
1726836051341,-58
1726836051349,-61
1726836051357,-61
1726836051365,-59
1726836051373,-54
1726836051381,-54
1726836051389,-42
1726836051397,-24
1726836051405,-11
1726836051413,-18
1726836051421,-35
1726836051429,-57
1726836051437,-73
1726836051445,-87
1726836051453,-91
1726836051461,-85
1726836051469,-70
1726836051477,-61
1726836051485,-49
1726836051493,-58
1726836051501,-117
1726836051509,-9
1726836051517,464
1726836051525,906
1726836051533,652
1726836051541,-336
1726836051549,-1217
1726836051557,-1225
1726836051565,-540
1726836051573,53
1726836051581,174
1726836051589,72
1726836051597,2
1726836051605,-25
1726836051613,-31
1726836051621,-39
1726836051629,-48
1726836051637,-52
1726836051645,-56
1726836051653,-59
1726836051661,-57
1726836051669,-52
1726836051677,-48
1726836051685,-48
1726836051693,-44
1726836051701,-46
1726836051709,-45
1726836051717,-44
1726836051725,-42
1726836051733,-40
1726836051741,-35
1726836051749,-32
1726836051757,-32
1726836051765,-31
1726836051773,-33
1726836051781,-36
1726836051789,-38
1726836051797,-45
1726836051805,-52
1726836051813,-59
1726836051821,-61
1726836051829,-60
1726836051837,-53
1726836051845,-51
1726836051853,-45
1726836051861,-46
1726836051869,-61
1726836051877,-81
1726836051885,-98
1726836051893,-104
1726836051901,-107
1726836051909,-109
1726836051917,-106
1726836051925,-100
1726836051933,-93
1726836051941,-83
1726836051949,-73
1726836051957,-59
1726836051965,-47
1726836051973,-38
1726836051981,-34
1726836051989,-35
1726836051997,-40
1726836052005,-45
1726836052013,-51
1726836052021,-55
1726836052029,-61
1726836052037,-69
1726836052045,-77
1726836052053,-80
1726836052061,-82
1726836052069,-81
1726836052077,-79
1726836052085,-83
1726836052093,-77
1726836052101,-72
1726836052109,-77
1726836052117,-82
1726836052125,-80
1726836052133,-73
1726836052141,-66
1726836052149,-66
1726836052157,-70
1726836052165,-74
1726836052173,-69
1726836052181,-67
1726836052189,-66
1726836052197,-66
1726836052205,-67
1726836052213,-69
1726836052221,-66
1726836052229,-60
1726836052237,-57
1726836052245,-61
1726836052253,-66
1726836052261,-69
1726836052269,-70
1726836052277,-63
1726836052285,-58
1726836052293,-59
1726836052301,-63
1726836052309,-70
1726836052317,-71
1726836052325,-67
1726836052333,-50
1726836052341,-27
1726836052349,-21
1726836052357,-32
1726836052365,-53
1726836052373,-66
1726836052381,-77
1726836052389,-91
1726836052397,-95
1726836052405,-90
1726836052413,-77
1726836052421,-65
1726836052429,-53
1726836052437,-52
1726836052445,-110
1726836052453,-64
1726836052461,340
1726836052469,847
1726836052477,767
1726836052485,-115
1726836052493,-1091
1726836052501,-1286
1726836052509,-686
1726836052517,-27
1726836052525,175
1726836052533,88
1726836052541,10
1726836052549,-22
1726836052557,-33
1726836052565,-42
1726836052573,-53
1726836052581,-58
1726836052589,-55
1726836052597,-53
1726836052605,-51
1726836052613,-53
1726836052621,-53
1726836052629,-46
1726836052637,-42
1726836052645,-42
1726836052653,-46
1726836052661,-44
1726836052669,-39
1726836052677,-31
1726836052685,-28
1726836052693,-28
1726836052701,-34
1726836052709,-36
1726836052717,-36
1726836052725,-33
1726836052733,-35
1726836052741,-39
1726836052749,-45
1726836052757,-50
1726836052765,-56
1726836052773,-55
1726836052781,-52
1726836052789,-44
1726836052797,-44
1726836052805,-49
1726836052813,-60
1726836052821,-73
1726836052829,-82
1726836052837,-92
1726836052845,-106
1726836052853,-111
1726836052861,-109
1726836052869,-101
1726836052877,-92
1726836052885,-82
1726836052893,-72
1726836052901,-59
1726836052909,-44
1726836052917,-38
1726836052925,-38
1726836052933,-38
1726836052941,-40
1726836052949,-44
1726836052957,-45
1726836052965,-49
1726836052973,-54
1726836052981,-63
1726836052989,-69
1726836052997,-75
1726836053005,-75
1726836053013,-71
1726836053021,-73
1726836053029,-80
1726836053037,-87
1726836053045,-86
1726836053053,-78
1726836053061,-75
1726836053069,-73
1726836053077,-70
1726836053085,-63
1726836053093,-63
1726836053101,-68
1726836053109,-73
1726836053117,-72
