timestamp,x,y,z
1726836550675,4.62,-2.31,-0.07
1726836550750,7.28,-2.66,-0.07
1726836550769,6.58,-2.8700001,0
1726836550788,4.41,-2.59,0.21000001
1726836550806,3.85,-2.03,0.14
1726836550825,4.2,-1.82,0
1726836550844,4.34,-1.54,-0.21000001
1726836550863,3.92,-1.6800001,-0.21000001
1726836550881,3.5,-1.89,-0.21000001
1726836550901,3.22,-2.1,-0.07
1726836550920,3.92,-2.24,-0.07
1726836550939,4.48,-2.66,-0.21000001
1726836550958,5.39,-2.73,-0.14
1726836550976,3.64,-2.8,-0.07
1726836550995,1.26,-2.24,-0.14
1726836551014,1.54,-1.89,-0.35
1726836551032,2.17,-2.03,-0.42000002
1726836551051,2.03,-2.1,-0.21000001
1726836551070,1.75,-1.89,-0.14
1726836551089,2.1,-1.75,-0.14
1726836551107,2.8,-2.1,-0.28
1726836551126,3.08,-2.17,-0.21000001
1726836551145,1.89,-2.38,-0.21000001
1726836551164,0.77,-2.31,-0.21000001
1726836551182,0.56,-2.24,-0.28
1726836551201,0.77,-1.96,-0.28
1726836551220,1.05,-1.82,-0.21000001
1726836551239,1.26,-1.6800001,-0.21000001
1726836551257,1.26,-1.82,-0.35
1726836551277,1.26,-1.82,-0.28
1726836551296,1.26,-1.89,-0.35
1726836551315,0.91,-1.82,-0.35
1726836551334,0.84000003,-1.6800001,-0.35
1726836551352,0.98,-1.54,-0.42000002
1726836551371,0.98,-1.6800001,-0.35
1726836551390,1.05,-1.75,-0.28
1726836551408,0.98,-1.96,-0.21000001
1726836551427,1.05,-1.96,-0.21000001
1726836551446,0.77,-1.82,-0.21000001
1726836551465,0.35,-1.89,-0.35
1726836551483,0.21000001,-1.82,-0.35
1726836551502,0.28,-1.54,-0.21000001
1726836551521,0.35,-1.61,-0.28
1726836551540,0.98,-1.89,-0.21000001
1726836551558,0.98,-1.96,-0.28
1726836551577,-0.28,-2.17,-0.35
1726836551596,-0.91,-1.61,-0.21000001
1726836551615,-3.01,-1.05,-0.21000001
1726836551633,-0.56,-1.75,-0.35
1726836551652,-0.21000001,-1.89,-0.28
1726836551671,-3.29,-2.17,-0.14
1726836551690,-1.4,-1.96,-0.07
1726836551708,0.77,-1.89,0
1726836551727,2.8,-2.38,-0.14
1726836551746,2.31,-2.52,-0.49
1726836551765,-0.21000001,-2.1,-0.63
1726836551783,-1.05,-1.75,-0.63
1726836551802,-0.98,-1.54,-0.42000002
1726836551821,-0.28,-1.26,-0.28
1726836551840,0.14,-1.33,-0.35
1726836551858,-0.07,-1.4,-0.35
1726836551877,-0.56,-1.4,-0.35
1726836551896,-1.19,-1.4,-0.49
1726836551915,-1.47,-1.6800001,-0.77
1726836551933,-1.75,-2.03,-0.84000003
1726836551952,-2.45,-1.96,-0.7
1726836551971,-3.85,-1.82,-0.63
1726836551990,-3.71,-1.61,-0.49
1726836552008,-3.01,-1.47,-0.56
1726836552028,-2.94,-1.4,-0.63
1726836552047,-3.71,-1.33,-0.7
1726836552066,-4.27,-1.12,-0.7
1726836552085,-3.92,-1.4,-0.49
1726836552103,-3.85,-1.89,-0.28
1726836552122,-4.34,-2.1,-0.35
1726836552141,-4.55,-1.89,-0.42000002
1726836552159,-4.2,-1.75,-0.49
1726836552178,-4.48,-1.82,-0.49
1726836552197,-4.27,-1.6800001,-0.21000001
1726836552216,-3.29,-1.61,-0.14
1726836552234,-2.8700001,-1.47,-0.28
1726836552253,-2.66,-1.33,-0.49
1726836552272,-2.73,-1.19,-0.7
1726836552291,-3.5,-1.19,-0.84000003
1726836552309,-3.78,-1.12,-0.91
1726836552328,-3.22,-1.26,-0.77
1726836552347,-3.3600001,-1.26,-0.56
1726836552366,-3.57,-1.47,-0.63
1726836552384,-3.78,-1.47,-0.63
1726836552404,-3.57,-1.54,-0.49
1726836552423,-3.22,-1.6800001,-0.56
1726836552442,-4.06,-1.75,-0.7
1726836552461,-4.13,-1.61,-0.7
1726836552479,-3.85,-1.6800001,-0.77
1726836552498,-4.55,-1.26,-0.49
1726836552517,-4.48,-0.7,-0.42000002
1726836552535,-5.32,-0.91,-0.63
1726836552554,-4.9,-1.61,-0.63
1726836552573,-3.3600001,-1.4,-0.14
1726836552592,-8.4,-0.7,0.28
1726836552610,-8.33,-0.91,-0.35
1726836552629,-6.09,-1.26,-0.7
1726836552648,-5.04,-2.52,-0.84000003
1726836552667,-3.57,-2.03,-0.49
1726836552685,-1.61,-1.47,-0.35
1726836552704,0.49,-1.6800001,-0.49
1726836552723,-0.63,-2.17,-0.49
1726836552742,-2.94,-2.03,-0.42000002
1726836552760,-3.99,-1.4,-0.28
1726836552780,-3.08,-1.19,-0.28
1726836552799,-1.89,-1.4,-0.35
1726836552818,-2.38,-1.89,-0.28
1726836552837,-1.4,-2.24,-0.21000001
1726836552855,-1.19,-2.24,0
1726836552874,-0.56,-2.38,-0.07
1726836552893,0.84000003,-2.31,-0.28
1726836552911,1.82,-2.66,-0.42000002
1726836552930,1.19,-2.94,-0.63
1726836552949,-2.31,-2.38,-0.56
1726836552968,-2.52,-2.03,-0.63
1726836552986,-0.56,-2.31,-0.7
1726836553005,0.07,-2.52,-0.42000002
1726836553024,-1.26,-2.66,-0.07
1726836553043,-0.42000002,-2.31,0.14
1726836553061,0.7,-2.31,-0.14
1726836553080,0.98,-2.24,-0.14
1726836553099,1.05,-2.03,-0.07
1726836553118,1.12,-1.96,-0.21000001
1726836553136,0.84000003,-1.82,-0.21000001
1726836553155,1.12,-1.75,-0.21000001
1726836553174,1.47,-1.82,-0.28
1726836553193,1.47,-1.75,-0.35
1726836553211,1.54,-1.75,-0.35
1726836553230,1.54,-1.75,-0.28
1726836553249,1.33,-1.82,-0.28
1726836553268,1.19,-1.96,-0.21000001
1726836553286,1.33,-1.89,-0.07
1726836553305,1.61,-1.96,-0.14
