timestamp,sample
1726833936492,376
1726833937053,552
1726833941436,4432
1726833942284,848
1726833943140,848
1726833943948,808
1726833944748,800
1726833945540,792
1726833946341,800
1726833947141,792
1726833947932,800
1726833948732,800
1726833949532,816
1726833950348,792
1726833951164,816
1726833952013,832
1726833952845,832
1726833953628,776
1726833954429,824
1726833955252,800
1726833956108,856
1726833957004,896
1726833957924,920
1726833958820,896
1726833959708,888
1726833960572,864
1726833961412,840
1726833962236,824
1726833963044,816
1726833963852,800
1726833964660,808
