timestamp,sample
1726835744006,-178
1726835744134,372
1726835744142,289
1726835744150,-1068
1726835744158,-2501
1726835744166,-2276
1726835744174,-544
1726835744182,811
1726835744190,659
1726835744198,-124
1726835744206,-221
1726835744214,-32
1726835744222,-99
1726835744230,-99
1726835744238,-81
1726835744246,-95
1726835744254,-73
1726835744262,-66
1726835744270,-43
1726835744278,-11
1726835744286,17
1726835744294,28
1726835744302,-29
1726835744310,6
1726835744318,425
1726835744326,992
1726835744334,973
1726835744342,76
1726835744350,-998
1726835744358,-1288
1726835744366,-704
1726835744374,14
1726835744382,276
1726835744390,213
1726835744398,130
1726835744406,89
1726835744414,69
1726835744422,61
1726835744430,49
1726835744438,43
1726835744446,38
1726835744454,33
1726835744462,36
1726835744470,36
1726835744478,38
1726835744486,37
1726835744494,37
1726835744502,31
1726835744510,28
1726835744518,29
1726835744526,31
1726835744534,39
1726835744542,42
1726835744550,37
1726835744558,36
1726835744566,36
1726835744574,36
1726835744582,32
1726835744590,28
1726835744598,22
1726835744606,12
1726835744614,7
1726835744622,5
1726835744630,4
1726835744638,7
1726835744646,10
1726835744654,11
1726835744662,3
1726835744670,-17
1726835744678,-41
1726835744686,-56
1726835744694,-66
1726835744702,-69
1726835744710,-72
1726835744718,-60
1726835744726,-50
1726835744734,-37
1726835744742,-31
1726835744750,-24
1726835744758,-13
1726835744766,-4
1726835744774,-3
1726835744782,-2
1726835744790,0
1726835744798,8
1726835744806,3
1726835744814,-9
1726835744822,-24
1726835744830,-38
1726835744838,-45
1726835744846,-47
1726835744854,-48
1726835744862,-48
1726835744870,-54
1726835744878,-56
1726835744886,-56
1726835744894,-56
1726835744902,-52
1726835744910,-51
1726835744918,-52
1726835744926,-51
1726835744934,-47
1726835744942,-45
1726835744950,-44
1726835744958,-40
1726835744966,-36
1726835744974,-32
1726835744982,-32
1726835744990,-38
1726835744998,-44
1726835745006,-41
1726835745014,-42
1726835745022,-47
1726835745030,-43
1726835745038,-39
1726835745046,-37
1726835745054,-38
1726835745062,-38
1726835745070,-38
1726835745078,-36
