timestamp,x,y,z
1726836051233,0.21000001,-1.89,-0.42000002
1726836051308,0,-1.82,-0.28
1726836051327,0.14,-1.89,-0.28
1726836051346,0,-1.6800001,-0.21000001
1726836051364,-0.21000001,-1.75,-0.21000001
1726836051384,-0.14,-1.89,-0.21000001
1726836051403,0.21000001,-1.6800001,-0.28
1726836051422,0.35,-2.03,-0.35
1726836051441,0.49,-2.03,-0.28
1726836051459,-0.77,-1.89,-0.49
1726836051478,-1.12,-1.6800001,-0.35
1726836051497,-2.8,-1.54,-0.28
1726836051515,-1.82,-1.61,-0.21000001
1726836051534,-0.77,-2.38,-0.21000001
1726836051553,-3.78,-2.1,-0.14
1726836051572,-1.6800001,-1.89,-0.07
1726836051590,1.33,-1.47,0
1726836051609,2.94,-1.89,-0.14
1726836051628,3.01,-2.38,-0.56
1726836051647,1.47,-2.31,-0.63
1726836051665,0.35,-2.03,-0.63
1726836051684,-0.14,-2.03,-0.35
1726836051703,0.07,-1.89,0.07
1726836051722,0.35,-1.96,0.14
1726836051740,0.35,-1.96,-0.07
1726836051760,0.42000002,-1.89,-0.07
1726836051779,1.26,-2.03,-0.07
1726836051798,2.03,-2.03,-0.28
1726836051817,2.38,-2.31,-0.28
1726836051835,1.19,-2.31,-0.56
1726836051854,0.14,-1.96,-0.56
1726836051873,0.42000002,-1.54,-0.49
1726836051891,0.35,-1.47,-0.63
1726836051910,0.56,-1.61,-0.49
1726836051929,0.91,-1.47,-0.42000002
1726836051948,0.7,-1.47,-0.28
1726836051966,0.7,-2.03,-0.28
1726836051985,0.56,-2.31,-0.07
1726836052004,0.49,-2.52,-0.14
1726836052023,0.28,-2.31,-0.21000001
1726836052041,0,-1.89,-0.28
1726836052060,-0.07,-1.61,-0.35
1726836052079,0.14,-1.4,-0.42000002
1726836052098,0.14,-1.47,-0.21000001
1726836052116,0.35,-1.54,-0.28
1726836052135,0.42000002,-1.6800001,-0.28
1726836052154,0.28,-1.96,-0.28
1726836052173,0.21000001,-2.1,-0.35
1726836052191,0.49,-1.96,-0.35
1726836052210,0.7,-1.89,-0.35
1726836052229,0.49,-1.75,-0.21000001
1726836052248,0.28,-1.6800001,-0.21000001
1726836052266,0.35,-1.82,-0.14
1726836052285,0.28,-1.89,-0.07
1726836052304,0.14,-1.82,-0.14
1726836052323,0.63,-1.96,-0.14
1726836052341,1.05,-1.96,-0.21000001
1726836052360,1.19,-2.03,-0.28
1726836052379,1.12,-2.31,-0.35
1726836052398,0.14,-2.1,-0.21000001
1726836052416,-0.42000002,-2.03,-0.28
1726836052435,-2.31,-1.54,-0.21000001
1726836052454,-1.47,-1.54,-0.21000001
