timestamp,sample
1726836846891,17
1726836847019,272
1726836847027,-168
1726836847035,-788
1726836847043,-376
1726836847051,1074
1726836847059,1985
1726836847067,1289
1726836847075,-103
1726836847083,-579
1726836847091,-10
1726836847099,303
1726836847107,110
1726836847115,-1
1726836847123,-51
1726836847131,-79
1726836847139,-74
1726836847147,-88
1726836847155,-86
1726836847163,-73
1726836847171,-65
1726836847179,-59
1726836847187,-56
1726836847195,-59
1726836847203,-59
1726836847211,-56
1726836847219,-49
1726836847227,-44
1726836847235,-41
1726836847243,-36
1726836847251,-31
1726836847259,-26
1726836847267,-25
1726836847275,-26
1726836847283,-28
1726836847291,-27
1726836847299,-25
1726836847307,-25
1726836847315,-31
1726836847323,-42
1726836847331,-45
1726836847339,-45
1726836847347,-51
1726836847355,-57
1726836847363,-57
1726836847371,-52
1726836847379,-56
1726836847387,-71
1726836847395,-85
1726836847403,-94
1726836847411,-106
1726836847419,-115
1726836847427,-121
1726836847435,-115
1726836847443,-104
1726836847451,-100
1726836847459,-96
1726836847467,-86
1726836847475,-71
1726836847483,-54
1726836847491,-53
1726836847499,-50
1726836847507,-45
1726836847515,-37
1726836847523,-36
1726836847531,-45
1726836847539,-51
1726836847547,-55
1726836847555,-62
1726836847563,-73
1726836847571,-84
1726836847579,-83
1726836847587,-79
1726836847595,-76
1726836847603,-79
1726836847611,-84
1726836847619,-86
1726836847627,-83
1726836847635,-77
1726836847643,-73
1726836847651,-72
1726836847659,-76
1726836847667,-81
1726836847675,-81
1726836847683,-78
1726836847691,-76
1726836847699,-75
1726836847707,-75
1726836847715,-77
1726836847723,-78
1726836847731,-74
1726836847739,-68
1726836847747,-67
1726836847755,-69
1726836847763,-71
1726836847771,-69
1726836847779,-70
1726836847787,-69
1726836847795,-70
1726836847803,-68
1726836847811,-66
1726836847819,-66
1726836847827,-70
1726836847835,-71
1726836847843,-72
1726836847851,-72
1726836847859,-71
1726836847867,-67
1726836847875,-46
1726836847883,-23
1726836847891,-23
1726836847899,-48
1726836847907,-76
1726836847915,-92
1726836847923,-95
1726836847931,-98
1726836847939,-98
1726836847947,-93
1726836847955,-76
1726836847963,-64
1726836847971,-54
1726836847979,-77
1726836847987,-124
1726836847995,51
1726836848003,537
1726836848011,856
1726836848019,436
1726836848027,-551
1726836848035,-1241
1726836848043,-1052
1726836848051,-358
1726836848059,115
1726836848067,147
1726836848075,44
1726836848083,-11
1726836848091,-24
1726836848099,-31
1726836848107,-41
1726836848115,-53
1726836848123,-55
1726836848131,-57
1726836848139,-56
1726836848147,-56
1726836848155,-54
1726836848163,-54
1726836848171,-53
1726836848179,-50
1726836848187,-49
1726836848195,-45
1726836848203,-42
1726836848211,-39
1726836848219,-40
1726836848227,-41
1726836848235,-41
1726836848243,-38
1726836848251,-34
1726836848259,-30
1726836848267,-31
1726836848275,-39
1726836848283,-45
1726836848291,-50
1726836848299,-49
1726836848307,-47
1726836848315,-45
1726836848323,-45
1726836848331,-47
1726836848339,-56
1726836848347,-69
1726836848355,-83
1726836848363,-88
1726836848371,-94
1726836848379,-105
1726836848387,-111
1726836848395,-114
1726836848403,-108
1726836848411,-100
1726836848419,-93
1726836848427,-80
1726836848435,-64
1726836848443,-53
1726836848451,-49
1726836848459,-49
1726836848467,-45
1726836848475,-45
1726836848483,-46
1726836848491,-48
1726836848499,-45
1726836848507,-42
1726836848515,-50
1726836848523,-59
1726836848531,-65
1726836848539,-65
1726836848547,-69
1726836848555,-76
1726836848563,-80
1726836848571,-78
1726836848579,-77
1726836848587,-76
1726836848595,-78
1726836848603,-79
1726836848611,-77
1726836848619,-75
1726836848627,-75
1726836848635,-74
1726836848643,-73
1726836848651,-73
1726836848659,-74
1726836848667,-69
1726836848675,-63
1726836848683,-60
1726836848691,-66
1726836848699,-71
1726836848707,-71
1726836848715,-64
1726836848723,-61
1726836848731,-59
1726836848739,-60
1726836848747,-62
1726836848755,-64
1726836848763,-66
1726836848771,-66
1726836848779,-71
1726836848787,-72
1726836848795,-66
1726836848803,-63
1726836848811,-64
1726836848819,-67
