timestamp,x,y,z
1726836847207,-123.982544,292.6631,-7.0093226
1726836847282,-124.531525,292.5041,-6.05253
1726836847301,-123.23409,290.42484,-6.28962
1726836847320,-123.20409,292.0311,-4.603227
1726836847338,-120.65282,291.06323,-4.7918873
1726836847358,-121.622696,292.2933,-4.427154
1726836847377,-124.72465,291.98264,-7.9660873
1726836847396,-123.24986,293.34155,-6.3332148
1726836847415,-123.02595,291.98978,-5.4528537
1726836847433,-123.96207,289.74738,-6.8253937
1726836847452,-126.35524,293.86957,-6.49919
1726836847471,-123.469955,293.6538,-5.5754647
1726836847489,-123.58345,292.86935,-6.2745056
1726836847508,-122.105705,292.62897,-5.345715
1726836847527,-122.15752,292.61804,-6.8893456
1726836847546,-121.63037,293.8916,-3.8634024
1726836847564,-123.32229,291.24564,-5.4426026
1726836847583,-124.05069,290.28827,-7.1494713
1726836847602,-121.58841,293.62064,-3.7715304
1726836847621,-123.8318,293.17563,-6.358736
1726836847639,-122.73257,294.33328,-4.7590303
1726836847658,-122.97971,291.43994,-6.391746
1726836847677,-125.51475,290.25177,-8.828367
1726836847696,-122.50612,291.10233,-5.753845
1726836847714,-123.78942,293.18454,-5.0957656
1726836847734,-121.75887,292.06363,-3.4856522
1726836847753,-123.58948,291.54794,-6.088149
1726836847772,-124.12169,294.0327,-5.3637433
1726836847791,-122.365685,290.57233,-3.886133
1726836847809,-121.36196,290.3897,-4.7663417
1726836847828,-123.14929,290.9235,-7.6036534
1726836847847,-122.95955,292.76434,-6.1571126
1726836847865,-123.5346,294.47955,-4.0267973
1726836847884,-122.81526,291.67557,-6.4912677
1726836847903,-122.83115,290.0723,-7.7566657
1726836847922,-125.11257,293.3787,-7.5758324
1726836847940,-122.52025,291.09933,-6.174835
1726836847959,-124.98025,294.1671,-6.315471
1726836847978,-122.73135,291.13367,-6.30752
1726836847997,-125.0312,294.71594,-5.5169086
1726836848015,-125.112144,293.65857,-6.404734
1726836848034,-123.66398,292.09183,-5.9912367
1726836848053,-123.89995,290.8008,-6.4988847
1726836848072,-125.339134,292.08963,-7.80282
1726836848090,-124.05486,295.08716,-4.896904
