,Timestamp,RR-intervals
214,1707285430.236,688.0
215,1707285430.924,688.0
216,1707285431.612,688.0
217,1707285432.308,696.0
218,1707285433.028,720.0
219,1707285433.716,688.0
220,1707285434.388,672.0
221,1707285435.068,680.0
222,1707285435.756,688.0
223,1707285436.468,712.0
224,1707285437.188,720.0
225,1707285437.892,704.0
226,1707285438.596,704.0
227,1707285439.3,704.0
228,1707285440.028,728.0
229,1707285440.764,736.0
230,1707285441.524,760.0
231,1707285442.268,744.0
232,1707285442.988,720.0
233,1707285443.692,704.0
234,1707285444.396,704.0
235,1707285445.124,728.0
236,1707285445.852,728.0
237,1707285446.572,720.0
238,1707285447.292,720.0
239,1707285448.068,776.0
240,1707285448.836,768.0
241,1707285449.54,704.0
242,1707285450.244,704.0
243,1707285450.916,672.0
244,1707285451.612,696.0
245,1707285452.356,744.0
246,1707285453.044,688.0
247,1707285453.724,680.0
248,1707285454.412,688.0
249,1707285455.092,680.0
250,1707285455.772,680.0
251,1707285456.452,680.0
252,1707285457.124,672.0
253,1707285457.796,672.0
254,1707285458.476,680.0
255,1707285459.14,664.0
256,1707285459.82,680.0
257,1707285460.492,672.0
258,1707285461.164,672.0
259,1707285461.844,680.0
260,1707285462.524,680.0
261,1707285463.196,672.0
262,1707285463.868,672.0
263,1707285464.556,688.0
264,1707285465.244,688.0
265,1707285465.924,680.0
266,1707285466.588,664.0
267,1707285467.244,656.0
268,1707285467.924,680.0
269,1707285468.644,720.0
270,1707285469.324,680.0
271,1707285470.036,712.0
272,1707285470.732,696.0
273,1707285471.468,736.0
274,1707285472.164,696.0
275,1707285472.868,704.0
276,1707285473.548,680.0
277,1707285474.22,672.0
278,1707285474.9,680.0
279,1707285475.612,712.0
280,1707285476.3,688.0
281,1707285476.996,696.0
282,1707285477.692,696.0
283,1707285478.38,688.0
284,1707285479.068,688.0
285,1707285479.74,672.0
286,1707285480.404,664.0
287,1707285481.068,664.0
288,1707285481.748,680.0
289,1707285482.444,696.0
290,1707285483.156,712.0
291,1707285483.876,720.0
292,1707285484.588,712.0
293,1707285485.292,704.0
294,1707285485.988,696.0
295,1707285486.708,720.0
296,1707285487.484,776.0
297,1707285488.22,736.0
298,1707285488.932,712.0
299,1707285489.66,728.0
300,1707285490.412,752.0
301,1707285491.172,760.0
302,1707285491.964,792.0
303,1707285492.764,800.0
304,1707285493.548,784.0
305,1707285494.332,784.0
306,1707285495.108,776.0
307,1707285495.868,760.0
308,1707285496.604,736.0
309,1707285497.332,728.0
310,1707285498.036,704.0
311,1707285498.732,696.0
312,1707285499.412,680.0
313,1707285500.092,680.0
314,1707285500.796,704.0
315,1707285501.628,832.0
316,1707285502.604,976.0
317,1707285503.428,824.0
318,1707285504.308,880.0
319,1707285505.116,808.0
320,1707285505.868,752.0
321,1707285506.644,776.0
322,1707285507.412,768.0
323,1707285508.148,736.0
324,1707285508.86,712.0
325,1707285509.556,696.0
326,1707285510.26,704.0
327,1707285510.972,712.0
328,1707285511.716,744.0
329,1707285512.476,760.0
330,1707285513.228,752.0
331,1707285513.956,728.0
332,1707285514.684,728.0
333,1707285515.42,736.0
334,1707285516.18,760.0
335,1707285516.956,776.0
336,1707285517.844,888.0
337,1707285518.788,944.0
338,1707285519.66,872.0
339,1707285520.492,832.0
340,1707285521.284,792.0
341,1707285522.036,752.0
342,1707285522.788,752.0
343,1707285523.556,768.0
344,1707285524.324,768.0
345,1707285525.084,760.0
346,1707285525.852,768.0
347,1707285526.612,760.0
348,1707285527.372,760.0
349,1707285528.116,744.0
350,1707285528.828,712.0
351,1707285529.54,712.0
352,1707285530.268,728.0
353,1707285531.028,760.0
354,1707285531.828,800.0
355,1707285532.612,784.0
356,1707285533.388,776.0
357,1707285534.132,744.0
358,1707285534.86,728.0
359,1707285535.58,720.0
360,1707285536.3,720.0
361,1707285537.028,728.0
362,1707285537.764,736.0
363,1707285538.516,752.0
364,1707285539.236,720.0
365,1707285539.972,736.0
366,1707285540.724,752.0
367,1707285541.444,720.0
368,1707285542.164,720.0
369,1707285542.884,720.0
370,1707285543.596,712.0
371,1707285544.324,728.0
372,1707285545.084,760.0
373,1707285545.852,768.0
374,1707285546.596,744.0
375,1707285547.34,744.0
376,1707285548.084,744.0
377,1707285548.828,744.0
378,1707285549.588,760.0
379,1707285550.324,736.0
380,1707285551.052,728.0
381,1707285551.772,720.0
382,1707285552.484,712.0
383,1707285553.188,704.0
384,1707285553.884,696.0
385,1707285554.644,760.0
386,1707285555.492,848.0
387,1707285556.316,824.0
388,1707285557.076,760.0
389,1707285557.828,752.0
390,1707285558.572,744.0
391,1707285559.3,728.0
392,1707285560.036,736.0
393,1707285560.78,744.0
394,1707285561.532,752.0
395,1707285562.292,760.0
396,1707285563.052,760.0
397,1707285563.804,752.0
398,1707285564.516,712.0
399,1707285565.244,728.0
400,1707285565.972,728.0
401,1707285566.708,736.0
402,1707285567.452,744.0
403,1707285568.204,752.0
404,1707285568.948,744.0
405,1707285569.668,720.0
406,1707285570.388,720.0
407,1707285571.092,704.0
408,1707285571.796,704.0
409,1707285572.5,704.0
410,1707285573.228,728.0
411,1707285573.948,720.0
412,1707285574.668,720.0
413,1707285575.428,760.0
414,1707285576.188,760.0
415,1707285576.94,752.0
416,1707285577.708,768.0
417,1707285578.524,816.0
418,1707285579.372,848.0
419,1707285580.228,856.0
420,1707285581.076,848.0
421,1707285581.852,776.0
422,1707285582.612,760.0
423,1707285583.356,744.0
424,1707285584.092,736.0
425,1707285584.86,768.0
426,1707285585.708,848.0
427,1707285586.572,864.0
428,1707285587.404,832.0
429,1707285588.228,824.0
430,1707285589.044,816.0
431,1707285589.828,784.0
432,1707285590.604,776.0
433,1707285591.356,752.0
434,1707285592.108,752.0
435,1707285592.828,720.0
436,1707285593.556,728.0
437,1707285594.3,744.0
438,1707285595.068,768.0
439,1707285595.86,792.0
440,1707285596.652,792.0
441,1707285597.444,792.0
442,1707285598.228,784.0
443,1707285599.004,776.0
444,1707285599.764,760.0
445,1707285600.516,752.0
446,1707285601.26,744.0
447,1707285601.988,728.0
448,1707285602.724,736.0
449,1707285603.46,736.0
450,1707285604.196,736.0
451,1707285604.916,720.0
452,1707285605.628,712.0
453,1707285606.34,712.0
454,1707285607.06,720.0
455,1707285607.796,736.0
456,1707285608.532,736.0
457,1707285609.284,752.0
458,1707285610.012,728.0
459,1707285610.82,808.0
460,1707285611.644,824.0
461,1707285612.436,792.0
462,1707285613.236,800.0
463,1707285614.02,784.0
464,1707285614.788,768.0
465,1707285615.516,728.0
466,1707285616.236,720.0
467,1707285616.956,720.0
468,1707285617.676,720.0
469,1707285618.412,736.0
470,1707285619.188,776.0
471,1707285619.972,784.0
472,1707285620.748,776.0
473,1707285621.484,736.0
474,1707285622.204,720.0
475,1707285622.932,728.0
476,1707285623.652,720.0
477,1707285624.372,720.0
478,1707285625.084,712.0
479,1707285625.796,712.0
480,1707285626.516,720.0
481,1707285627.228,712.0
482,1707285627.964,736.0
483,1707285628.7,736.0
484,1707285629.46,760.0
485,1707285630.228,768.0
486,1707285630.972,744.0
487,1707285631.7,728.0
488,1707285632.444,744.0
489,1707285633.18,736.0
490,1707285633.932,752.0
491,1707285634.668,736.0
492,1707285635.388,720.0
493,1707285636.1,712.0
494,1707285636.812,712.0
495,1707285637.516,704.0
496,1707285638.204,688.0
497,1707285638.924,720.0
498,1707285639.676,752.0
499,1707285640.444,768.0
500,1707285641.236,792.0
501,1707285642.06,824.0
502,1707285642.876,816.0
503,1707285643.676,800.0
504,1707285644.452,776.0
505,1707285645.196,744.0
506,1707285645.932,736.0
507,1707285646.652,720.0
508,1707285647.356,704.0
509,1707285648.044,688.0
510,1707285648.732,688.0
511,1707285649.42,688.0
512,1707285650.108,688.0
513,1707285650.788,680.0
514,1707285651.476,688.0
515,1707285652.188,712.0
516,1707285652.908,720.0
517,1707285653.604,696.0
518,1707285654.316,712.0
519,1707285655.02,704.0
520,1707285655.724,704.0
521,1707285656.436,712.0
522,1707285657.148,712.0
523,1707285657.844,696.0
524,1707285658.58,736.0
525,1707285659.356,776.0
526,1707285660.164,808.0
527,1707285660.972,808.0
528,1707285661.74,768.0
529,1707285662.476,736.0
530,1707285663.22,744.0
531,1707285663.948,728.0
532,1707285664.676,728.0
533,1707285665.412,736.0
534,1707285666.124,712.0
535,1707285666.94,816.0
536,1707285667.812,872.0
537,1707285668.652,840.0
538,1707285669.516,864.0
539,1707285670.324,808.0
540,1707285671.1,776.0
541,1707285671.844,744.0
542,1707285672.572,728.0
543,1707285673.3,728.0
544,1707285674.036,736.0
545,1707285674.78,744.0
546,1707285675.556,776.0
547,1707285676.348,792.0
548,1707285677.156,808.0
549,1707285677.948,792.0
550,1707285678.732,784.0
551,1707285679.484,752.0
552,1707285680.228,744.0
