lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,sd1,sd2,ratio_sd2_sd1,csi,cvi,Modified_csi
1277.566181021838,244.0364718910223,5.235144448377175,83.96187917891348,16.038120821086522,2398.8045718164717,877.2019189036113,701.3215149073328,83.24860124540297,27.010187310020132,81,6.532258064516129,359,28.951612903225808,27.01063112088252,712.0,472.0,0.03851390631364203,0.11870247736004903,86.9271366360422,119.04761904761905,61.47540983606557,11.770213787939673,19.10679251377752,116.17051991993353,6.080063926803272,6.080063926803272,4.550403703198503,2825.2967500926757
1461.5521837110605,512.9758149355137,2.849163919930207,74.02033218636915,25.979667813630865,2622.433682121442,647.9056834748676,786.1015310233682,121.12694874309261,37.32823685544281,194,15.64516129032258,626,50.483870967741936,37.32841749509577,816.0,544.0,0.04748549140529039,0.15408562884415997,78.64237102692405,119.04761904761905,57.25190839694657,15.293141570081087,26.405699017033488,169.25192608370935,6.409674137940081,6.409674137940081,4.854351271012716,4339.398773661192
958.9358671729925,270.5386569338027,3.544542868813131,77.99558659986491,22.004413400135086,1532.0041685055673,302.5296443987721,762.9975825946817,54.41193678889937,26.333682036004024,71,5.725806451612903,450,36.29032258064516,26.333836935432245,760.0,344.0,0.03451365710213693,0.07131338031748914,79.02662041282362,92.5925925925926,60.483870967741936,5.4909307685110225,18.628238042579657,74.66127830185704,4.007962434836799,4.007962434836799,4.347387182983996,1196.958395082955
1832.6655324338055,309.6498124383022,5.918510067881809,85.54602088905881,14.453979110941193,3074.6151268031354,932.2997819310276,757.2538275584207,80.47097553232916,31.13943889785742,107,8.629032258064516,467,37.66129032258065,31.139505731535,760.0,488.0,0.04112162210118726,0.10626684554608076,80.13561727756084,107.14285714285714,57.25190839694657,8.598354300828607,22.027792372846424,111.65093895453009,5.068639519780556,5.068639519780556,4.594953336682318,2263.6734464221504
2266.779687538433,377.89224402221157,5.998481639663388,85.71118634744182,14.288813652558186,3364.328076257638,719.6561446969935,806.027397260274,64.41520475496068,36.06082270890791,164,13.225806451612904,570,45.96774193548387,36.06088042150654,800.0,464.0,0.04473902567590036,0.07991689237104231,74.90007893630519,91.46341463414635,53.57142857142857,5.809155877159516,25.50914029091591,87.45239258513965,3.428276750521554,3.428276750521554,4.552587500635536,1199.2440171084713
1401.2414122334976,314.9284438597391,4.449396170952325,81.64934299821255,18.350657001787447,2676.3661599348275,960.1963038415904,729.9500402900886,93.07146448839464,28.74893365438635,96,7.741935483870968,420,33.87096774193548,28.748969125978267,736.0,488.0,0.039384844906033806,0.12750388293890252,83.5864493538581,113.63636363636364,59.05511811023622,11.039227129732788,20.33676790249206,130.04234262465891,6.394444940718607,6.394444940718607,4.626486699254319,3326.1943995017837
2066.478666102922,271.2083849074703,7.619523514392648,88.39843062867423,11.60156937132577,3031.0589683213725,693.37191731098,767.6132151490733,57.976235003827185,29.852955622806828,99,7.983870967741935,465,37.5,29.852973051272464,760.0,488.0,0.038890645004691464,0.07552792716390114,78.58866958545788,96.15384615384616,53.9568345323741,5.65960856882432,21.117744296292813,79.22454497360263,3.751562849802589,3.751562849802589,4.427627263084211,1188.8634388619282
1939.6029572730504,582.400130989244,3.330361471551372,76.90723957873786,23.092760421262142,3395.0517528322516,873.0486645699574,778.8041901692184,106.70974128754192,37.69760837797744,178,14.35483870967742,547,44.11290322580645,37.69760837797744,784.0,568.0,0.04840447554575498,0.1370174205975395,78.5112989144836,107.14285714285714,53.191489361702125,10.859549087887864,26.666989505713257,148.53554942171397,5.570015670118708,5.570015670118708,4.801924379653687,3309.381351394554
1909.592908848459,658.852341701207,2.898362482734363,74.34820377969093,25.65179622030907,3398.5715898998847,830.1263393502187,845.3021756647864,65.3238562615188,40.31327066715692,215,17.338709677419356,683,55.08064516129032,40.31328925208883,840.0,352.0,0.04769098011652994,0.0772787035714713,71.39454438906384,84.26966292134831,56.390977443609025,5.381298432169586,28.517288286385703,87.87022625748898,3.0812966988673556,3.0812966988673556,4.603069953335436,1083.0169523837137
1781.7212451177713,469.111253174877,3.7980782448925283,79.1583223749116,20.841677625088394,4173.554043930911,1922.7215456382623,838.3336019339242,81.2603988378265,36.99287422828603,177,14.274193548387096,629,50.725806451612904,36.99287929155515,840.0,520.0,0.044126680841871886,0.09693086218943098,72.24858701324025,96.15384615384616,52.44755244755245,7.056044385389239,26.168466151507115,111.90047460955067,4.276157187115302,4.276157187115302,4.67073017866779,1914.016074972974
1950.9410979598129,313.1378855959043,6.230294026055499,86.16930381535877,13.830696184641223,3286.544002076202,1022.465018520485,776.8186946011281,81.03683056669084,30.44784011620423,100,8.064516129032258,494,39.83870967741935,30.44784011620423,776.0,560.0,0.03919555531788307,0.1043188470229861,78.11568358391064,108.69565217391305,53.9568345323741,8.514447982323572,21.538560873925025,112.56121095683602,5.226032120516681,5.226032120516681,4.588725421336296,2352.994015938717
3043.831049759545,636.0436866005472,4.785569158036709,82.71561582474727,17.28438417525274,5146.21675401971,1466.3420176596173,831.9258662369057,114.25114236632878,43.618500786043306,218,17.580645161290324,650,52.41935483870968,43.61858142078087,832.0,600.0,0.052430851342660026,0.1373333213969257,73.56452792203895,108.69565217391305,52.083333333333336,10.669700735518674,30.855381886663046,158.60199391133278,5.1401727741988195,5.1401727741988195,4.893759551431982,3260.9666041467185
